rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/clip_range,train/loss,train/explained_variance,train/approx_kl,train/learning_rate,train/value_loss
21.12,21.12,959,8,1,8192,,,,,,,,,,
32.09,32.09,541,30,2,16384,-0.6815964316017926,0.208447265625,-0.02395899264520267,10,0.2,3.3832502365112305,0.008905351161956787,0.01396358,0.0003,19.285947751812635
67.81,67.81,464,52,3,24576,-0.6465578875970095,0.1867919921875,-0.03377584362169728,20,0.2,10.17510986328125,0.39372456073760986,0.015359964,0.0003,26.316478145867585
112.46,112.46,434,75,4,32768,-0.604779454972595,0.16668701171875,-0.029178814464103198,30,0.2,19.2247257232666,0.4205341935157776,0.013590965,0.0003,44.175709183514115
166.31,166.31,423,96,5,40960,-0.5693065983708948,0.14852294921875,-0.02026436632950208,40,0.2,20.218175888061523,0.5103280544281006,0.0141787315,0.0003,36.45194887444377
217.54,217.54,423,116,6,49152,-0.5425477809039876,0.15150146484375,-0.016960979675786803,50,0.2,6.114562034606934,0.7808923870325089,0.013316767,0.0003,19.716178162954748
277.92,277.92,424,135,7,57344,-0.5200303959427401,0.12406005859375,-0.012031158385434537,60,0.2,2.514735460281372,0.8788743913173676,0.009661777,0.0003,11.778231539018453
330.86,330.86,425,153,8,65536,-0.49910768831614405,0.09884033203125,-0.011908852581109386,70,0.2,0.4333396553993225,0.951592318713665,0.007370254,0.0003,4.802719928207807
382.86,382.86,426,172,9,73728,-0.4705033824313432,0.07550048828125,-0.009251101883637602,80,0.2,0.5882667303085327,0.9631571993231773,0.0054731234,0.0003,2.319307418493554
426.38,426.38,427,191,10,81920,-0.4502646074164659,0.05294189453125,-0.004399653709697304,90,0.2,0.1943451464176178,0.6750755310058594,0.0040220055,0.0003,1.2641701752814698
464.26,464.26,428,210,11,90112,-0.44613215767312797,0.04971923828125,-0.0023023305777314816,100,0.2,0.26483672857284546,0.1944292187690735,0.003931298,0.0003,1.0272146508352307
491.12,491.12,428,229,12,98304,-0.44668121756985785,0.0275634765625,-0.0013216424580605236,110,0.2,0.05339595675468445,0.15555495023727417,0.003838863,0.0003,0.6763008064481255
497.46,497.46,428,248,13,106496,-0.4305691761430353,0.00792236328125,4.634717188309878e-05,120,0.2,0.06108046695590019,0.0016432404518127441,0.0020264024,0.0003,0.4484703718750097
500.0,500.0,428,267,14,114688,-0.43288895280566064,0.02120361328125,-0.00040547659154981374,130,0.2,0.010069530457258224,0.0018833279609680176,0.0014416408,0.0003,0.28235798988098393
500.0,500.0,428,286,15,122880,-0.44024969371967015,0.015185546875,-0.0004096042372111697,140,0.2,0.03542215749621391,0.03137803077697754,0.002323961,0.0003,0.1748430611070944
500.0,500.0,428,305,16,131072,-0.43077010130509735,0.01212158203125,-0.00030647598832729274,150,0.2,0.006720390636473894,0.05265378952026367,0.0020500757,0.0003,0.11459759078370553
500.0,500.0,428,325,17,139264,-0.42274794369004665,0.03936767578125,-0.0027292659720842493,160,0.2,0.004944521933794022,0.33162617683410645,0.0032279915,0.0003,0.07196182150319146
500.0,500.0,428,344,18,147456,-0.4121030851500109,0.01522216796875,-0.0009603907667042222,170,0.2,-0.001197784673422575,0.11219757795333862,0.0017660281,0.0003,0.04866998054467331
500.0,500.0,428,362,19,155648,-0.4142066641943529,0.01177978515625,-3.4222581598442046e-05,180,0.2,0.02770267054438591,0.07209914922714233,0.002496663,0.0003,0.030353040408544984
500.0,500.0,429,381,20,163840,-0.4250971204135567,0.01702880859375,-0.0005559050405281596,190,0.2,0.005909405183047056,0.029425084590911865,0.0015314415,0.0003,0.020317432358137922
500.0,500.0,429,400,21,172032,-0.4464001156389713,0.0110595703125,5.782046100648586e-05,200,0.2,0.02752671018242836,-0.01687145233154297,0.0013994542,0.0003,0.013399336251495697
500.0,500.0,429,419,22,180224,-0.4229477210668847,0.02158203125,-0.0011869492518599145,210,0.2,0.00885123573243618,0.007607161998748779,0.003220141,0.0003,0.009431607622263981
500.0,500.0,430,438,23,188416,-0.41562943493481724,0.0164306640625,-0.0005531428971153219,220,0.2,0.001766581553965807,0.014152944087982178,0.0019342449,0.0003,0.006149101150765546
500.0,500.0,430,456,24,196608,-0.41140407091006637,0.026513671875,-0.0009507467097137123,230,0.2,-0.0032375697046518326,0.037113964557647705,0.0029205263,0.0003,0.004258272162905996
500.0,500.0,430,475,25,204800,-0.4070705285063013,0.04312744140625,-0.0018195327487774194,240,0.2,-0.006313757039606571,0.04952949285507202,0.0035216734,0.0003,0.002851073272393023
500.0,500.0,430,494,26,212992,-0.4072131799068302,0.0267333984375,-0.000806782855943311,250,0.2,-0.0015263843815773726,-0.021904349327087402,0.0039848415,0.0003,0.0019780019449967766
500.0,500.0,431,512,27,221184,-0.4124252672307193,0.0120849609375,-0.0001944019863003632,260,0.2,0.0002773383166640997,-0.004436492919921875,0.0021252367,0.0003,0.001408403579125661
500.0,500.0,431,531,28,229376,-0.43041980704292654,0.02158203125,-0.0003665618045488372,270,0.2,0.005575141869485378,-0.008327245712280273,0.002078108,0.0003,0.0009680721195508113
500.0,500.0,431,550,29,237568,-0.41876442104112355,0.01767578125,-0.0003552077865606407,280,0.2,0.00507102906703949,-0.0064765214920043945,0.0016677532,0.0003,0.0006937936785625709
500.0,500.0,431,569,30,245760,-0.4124675608705729,0.01162109375,-0.00019189888444088866,290,0.2,0.008440123870968819,0.007006585597991943,0.0018986061,0.0003,0.00047733818813782135
500.0,500.0,431,588,31,253952,-0.4188302862457931,0.01090087890625,5.324761368683539e-05,300,0.2,-0.0011485021095722914,0.022180378437042236,0.0015592116,0.0003,0.00033540502202598075
500.0,500.0,433,604,32,262144,-0.41686673888470976,0.024462890625,-0.0010173343896894948,310,0.2,-0.010159770026803017,0.023355484008789062,0.003030534,0.0003,0.00025821330368032137
500.0,500.0,436,619,33,270336,-0.4275640468345955,0.0302490234375,-0.0009518785303953336,320,0.2,-0.0015426934696733952,0.02732640504837036,0.0038091827,0.0003,0.00016958903418924366
500.0,500.0,438,634,34,278528,-0.4272973420796916,0.0451416015625,-0.001729348878870951,330,0.2,0.000415945629356429,0.03264397382736206,0.0037357989,0.0003,0.00012167695923395171
500.0,500.0,441,649,35,286720,-0.4260671697789803,0.03558349609375,-0.0007896574345068075,340,0.2,-0.011181552894413471,-0.02365410327911377,0.003953377,0.0003,8.713327422995575e-05
500.0,500.0,443,665,36,294912,-0.4360996380681172,0.03447265625,-0.0006110067766712746,350,0.2,0.0013668285682797432,-0.01339876651763916,0.002542378,0.0003,5.9802013691978575e-05
500.0,500.0,445,680,37,303104,-0.45103319187182933,0.0140380859375,-0.00014592470906791278,360,0.2,-0.010328658856451511,7.37905502319336e-05,0.0010172289,0.0003,4.295309501358702e-05
