train/learning_rate,time/fps,train/loss,rollout/ep_rew_mean,time/episodes,time/total_timesteps,time/time_elapsed,rollout/exploration_rate,rollout/ep_len_mean,train/n_updates
0.0001,517,7.868716239929199,-118.12963450000001,4,367,0,0.9930269999999999,91.75,66
0.0001,594,2.052931308746338,-183.3880025,8,721,1,0.9863009999999994,90.125,155
0.0001,622,5.265625,-177.83014525000002,12,1109,1,0.9789289999999995,92.41666666666667,252
0.0001,637,4.399251461029053,-179.99060237499998,16,1451,2,0.9724310000000004,90.6875,337
0.0001,647,0.8597259521484375,-189.19033284999998,20,1818,2,0.9654580000000003,90.9,429
0.0001,652,4.21458101272583,-185.61661920833333,24,2159,3,0.9589789999999996,89.95833333333333,514
0.0001,655,1.7913169860839844,-195.2897548214286,28,2593,3,0.9507329999999998,92.60714285714286,623
0.0001,658,4.441967487335205,-193.71376259375,32,3051,4,0.9420309999999995,95.34375,737
0.0001,658,3.986969470977783,-195.60062263888886,36,3446,5,0.934526,95.72222222222223,836
0.0001,659,1.593467354774475,-196.869238825,40,3842,5,0.9270019999999998,96.05,935
0.0001,660,1.2786951065063477,-192.34635343181816,44,4244,6,0.9193639999999995,96.45454545454545,1035
0.0001,659,6.918250560760498,-189.2886313125,48,4576,6,0.9130559999999995,95.33333333333333,1118
0.0001,661,1.1959038972854614,-183.53039884615384,52,4944,7,0.906064,95.07692307692308,1210
0.0001,662,0.9915505051612854,-184.61817696428574,56,5405,8,0.8973050000000001,96.51785714285714,1326
0.0001,616,0.8768841028213501,-181.5585435,60,6671,10,0.8732510000000003,111.18333333333334,1642
0.0001,618,3.990147113800049,-175.641860875,64,7087,11,0.8653469999999999,110.734375,1746
0.0001,619,1.2568200826644897,-174.09834044117648,68,7589,12,0.8558089999999998,111.6029411764706,1872
0.0001,620,0.7193931341171265,-172.43822569444444,72,7942,12,0.8491019999999999,110.30555555555556,1960
0.0001,621,1.1888662576675415,-174.5853020131579,76,8444,13,0.8395639999999999,111.10526315789474,2085
0.0001,622,7.056750774383545,-177.0893425,80,8859,14,0.831679,110.7375,2189
0.0001,621,2.380089521408081,-177.72235389285711,84,9326,15,0.822806,111.02380952380952,2306
0.0001,621,0.7212230563163757,-176.25467348863637,88,9709,15,0.8155289999999996,110.32954545454545,2402
0.0001,621,1.455162525177002,-172.82382114130434,92,10192,16,0.8063520000000004,110.78260869565217,2522
0.0001,621,1.5154838562011719,-168.24329421874998,96,10653,17,0.7975929999999996,110.96875,2638
0.0001,620,1.216402530670166,-167.22778017999997,100,11095,17,0.7891949999999996,110.95,2748
0.0001,620,4.393451690673828,-167.42682948999993,104,11509,18,0.7813290000000002,111.42,2852
0.0001,619,1.1727150678634644,-163.41364388999997,108,11902,19,0.7738619999999996,111.81,2950
0.0001,619,0.9111199975013733,-163.23409234000002,112,12336,19,0.7656159999999997,112.27,3058
0.0001,618,3.5832889080047607,-163.48771021000002,116,12813,20,0.7565529999999997,113.62,3178
0.0001,618,0.7005621790885925,-159.86704993,120,13253,21,0.7481929999999997,114.35,3288
0.0001,617,0.934594452381134,-159.22770508000002,124,13637,22,0.7408969999999999,114.78,3384
0.0001,617,1.0247917175292969,-155.23586151,128,14036,22,0.7333160000000002,114.43,3483
0.0001,615,3.6263303756713867,-152.12576501,132,14551,23,0.7235310000000004,115.0,3612
0.0001,615,1.1173131465911865,-146.64027162,136,14990,24,0.71519,115.44,3722
0.0001,614,0.9663573503494263,-143.46276224,140,15506,25,0.7053859999999996,116.64,3851
0.0001,614,0.4417964518070221,-143.04914414,144,16000,26,0.6959999999999997,117.56,3974
0.0001,613,0.4649833142757416,-141.82546937000004,148,16417,26,0.6880769999999998,118.41,4079
0.0001,611,0.5312047004699707,-142.83146407000004,152,16940,27,0.6781399999999997,119.96,4209
0.0001,609,0.4410663843154907,-140.11301485,156,17423,28,0.6689629999999995,120.18,4330
0.0001,583,2.543667793273926,-140.09121018999997,160,18968,32,0.6396080000000003,122.97,4716
0.0001,582,3.5354256629943848,-141.60748483999998,164,19474,33,0.6299940000000002,123.87,4843
0.0001,583,1.1260569095611572,-141.91442164,168,19888,34,0.6221279999999998,122.99,4946
0.0001,582,0.8378586173057556,-142.71433983999998,172,20421,35,0.6120009999999996,124.79,5080
0.0001,581,4.000450134277344,-139.88053320999998,176,20979,36,0.6013989999999996,125.35,5219
0.0001,581,0.7045404314994812,-135.34540895,180,21671,37,0.5882510000000001,128.12,5392
0.0001,580,1.1558587551116943,-131.31556341,184,22420,38,0.5740200000000002,130.94,5579
0.0001,580,1.8015050888061523,-130.48998214,188,23030,39,0.5624300000000001,133.21,5732
0.0001,578,1.063384771347046,-133.25796408,192,23875,41,0.5463750000000005,136.83,5943
0.0001,575,4.064316749572754,-134.10966861999998,196,24833,43,0.5281730000000002,141.8,6183
0.0001,574,0.8587018251419067,-133.11100643999998,200,25507,44,0.515367,144.12,6351
0.0001,573,0.41207391023635864,-133.12497768999998,204,26223,45,0.5017630000000002,147.14,6530
0.0001,572,4.4860334396362305,-130.44371515,208,26896,46,0.4889760000000005,149.94,6698
0.0001,554,0.9538195133209229,-126.09743409000001,212,28431,51,0.4598110000000004,160.95,7082
0.0001,553,1.107391595840454,-121.10976729,216,29184,52,0.44550400000000034,163.71,7270
0.0001,544,0.9494898915290833,-117.91016867,220,30642,56,0.417802,173.89,7635
0.0001,542,1.1614015102386475,-117.72035031,224,31737,58,0.3969969999999997,181.0,7909
0.0001,541,3.8288321495056152,-112.99399774999998,228,32754,60,0.37767399999999995,187.18,8163
0.0001,534,1.2136516571044922,-110.25627438,232,34802,65,0.3387620000000001,202.51,8675
0.0001,522,0.7991329431533813,-110.53550374999999,236,36996,70,0.29707599999999956,220.06,9223
0.0001,519,3.078918695449829,-109.7731378,240,38299,73,0.27231900000000053,227.93,9549
0.0001,506,1.2582961320877075,-105.46394971,244,40768,80,0.2254079999999996,247.68,10166
0.0001,490,0.6323267817497253,-92.58489553,248,44228,90,0.15966800000000025,278.11,11031
0.0001,480,2.845907211303711,-91.8238091,252,46702,97,0.1126619999999996,297.62,11650
0.0001,470,0.5260825753211975,-92.46639528999998,256,49429,105,0.06084900000000004,320.06,12332
0.0001,455,0.7413452863693237,-83.93693324,260,52370,115,0.05,334.02,13067
0.0001,453,0.6377822160720825,-77.55003538999999,264,53958,119,0.05,344.84,13464
0.0001,450,1.403048038482666,-67.84981575,268,55665,123,0.05,357.77,13891
0.0001,448,0.9617922902107239,-58.750097989999986,272,57424,128,0.05,370.03,14330
0.0001,448,0.9567209482192993,-56.02396151000001,276,58725,131,0.05,377.46,14656
0.0001,445,0.8530538082122803,-55.53116285,280,60498,135,0.05,388.27,15099
0.0001,443,0.48743271827697754,-56.36731055,284,61885,139,0.05,394.65,15446
0.0001,443,1.1616365909576416,-53.80748877999999,288,63148,142,0.05,401.18,15761
0.0001,439,1.1815810203552246,-51.588829619999984,292,65214,148,0.05,413.39,16278
0.0001,426,0.6288193464279175,-53.04907593,296,68720,161,0.05,438.87,17154
0.0001,422,0.9343632459640503,-50.33303764999999,300,70899,167,0.05,453.92,17699
0.0001,422,1.4378424882888794,-49.449417489999995,304,71937,170,0.05,457.14,17959
0.0001,422,0.6920168995857239,-47.51887666,308,73028,172,0.05,461.32,18231
0.0001,421,0.3345160484313965,-43.66892424,312,74786,177,0.05,463.55,18671
0.0001,420,1.056947112083435,-40.8165243,316,76621,182,0.05,474.37,19130
0.0001,417,0.44718343019485474,-31.941009370000007,320,79099,189,0.05,484.57,19749
0.0001,414,0.8387505412101746,-28.64889026,324,81607,196,0.05,498.7,20376
0.0001,414,0.5830658078193665,-26.122821870000003,328,83140,200,0.05,503.86,20759
0.0001,414,0.49106544256210327,-26.24163287,332,84248,203,0.05,494.46,21036
0.0001,414,0.49133482575416565,-23.985680079999998,336,85497,206,0.05,485.01,21349
0.0001,414,0.4943371117115021,-23.02647515,340,87048,210,0.05,487.49,21736
0.0001,413,0.6835195422172546,-22.174972200000003,344,88806,214,0.05,480.38,22176
0.0001,412,0.4444310963153839,-31.056458120000002,348,90616,219,0.05,463.88,22628
0.0001,411,1.852413535118103,-27.230263219999998,352,92290,224,0.05,455.88,23047
0.0001,409,0.7436352968215942,-26.84704036,356,93862,229,0.05,444.33,23440
0.0001,409,0.5250635743141174,-29.983680310000004,360,95431,232,0.05,430.61,23832
0.0001,410,0.733523964881897,-28.26211105,364,96845,236,0.05,428.87,24186
0.0001,408,0.830319881439209,-33.65234699,368,98594,241,0.05,429.29,24623
0.0001,408,1.4123369455337524,-38.5216273,372,100154,245,0.05,427.3,25013
0.0001,408,2.813394546508789,-35.71071085,376,101090,247,0.05,423.65,25247
0.0001,406,0.34706175327301025,-31.371382360000002,380,103620,255,0.05,431.22,25879
0.0001,404,0.6245330572128296,-27.79930714,384,105701,261,0.05,438.16,26400
0.0001,401,0.6101164221763611,-28.24727355,388,108075,268,0.05,449.27,26993
0.0001,401,0.7447954416275024,-24.99455413,392,109789,273,0.05,445.75,27422
0.0001,400,3.6948392391204834,-26.05812625,396,111804,279,0.05,430.84,27925
0.0001,400,0.44432637095451355,-24.31849296,400,112978,282,0.05,420.79,28219
0.0001,399,0.9752248525619507,-23.70112891,404,115116,288,0.05,431.79,28753
0.0001,396,0.638485848903656,-23.4443257,408,118160,297,0.05,451.32,29514
0.0001,395,0.5489379167556763,-28.140814849999998,412,120746,305,0.05,459.6,30161
0.0001,391,0.502827525138855,-34.35233252999999,416,123962,316,0.05,473.41,30965
0.0001,388,0.35111203789711,-45.28080255,420,127311,328,0.05,482.12,31802
0.0001,386,0.2679702043533325,-39.29929293,424,129305,334,0.05,476.98,32301
0.0001,385,0.4980364143848419,-42.72154477,428,131092,339,0.05,479.52,32747
0.0001,383,0.3377487063407898,-45.27528712000001,432,133681,348,0.05,494.33,33395
0.0001,380,0.27628493309020996,-46.49027689,436,136879,359,0.05,513.82,34194
0.0001,379,0.3812771439552307,-45.82297994,440,140046,369,0.05,529.98,34986
0.0001,378,0.43009039759635925,-44.94974630000001,444,142537,376,0.05,537.31,35609
0.0001,377,0.33521175384521484,-45.05685673999999,448,144113,381,0.05,534.97,36003
0.0001,376,0.37494945526123047,-47.983030530000015,452,147421,391,0.05,551.31,36830
0.0001,376,0.6765526533126831,-45.777179540000006,456,149299,396,0.05,554.37,37299
0.0001,374,0.500292181968689,-48.674118799999995,460,152511,406,0.05,570.8,38102
0.0001,373,0.47011253237724304,-54.72999935000001,464,155679,416,0.05,588.34,38894
0.0001,372,0.2436736822128296,-56.18387995999999,468,158114,424,0.05,595.2,39503
0.0001,371,0.6115229725837708,-54.33573136,472,161545,435,0.05,613.91,40361
0.0001,369,0.415103018283844,-57.27481030999999,476,164783,446,0.05,636.93,41170
0.0001,367,0.27560746669769287,-60.127425020000004,480,168783,459,0.05,651.63,42170
0.0001,365,0.5672603845596313,-61.11353230999999,484,172783,473,0.05,670.82,43170
0.0001,364,0.32379576563835144,-58.01128748999999,488,176052,483,0.05,679.77,43987
0.0001,364,0.42991477251052856,-55.540929799999994,492,178677,490,0.05,688.88,44644
0.0001,361,0.33191442489624023,-53.35782004000001,496,182677,504,0.05,708.73,45644
0.0001,359,0.28832900524139404,-56.314944239999996,500,186677,518,0.05,736.99,46644
0.0001,358,0.30229708552360535,-54.62512626000001,504,190677,531,0.05,755.61,47644
0.0001,356,0.24280671775341034,-56.62216559999999,508,194677,545,0.05,765.17,48644
0.0001,354,0.31135720014572144,-55.975098629999984,512,198677,560,0.05,779.31,49644
0.0001,354,0.6078771948814392,-51.98390058000001,516,202677,572,0.05,787.15,50644
0.0001,352,0.2905726432800293,-49.36811044,520,206677,586,0.05,793.66,51644
0.0001,351,0.4016098976135254,-53.066687869999996,524,209873,596,0.05,805.68,52443
0.0001,351,0.31764891743659973,-48.40592082,528,212583,605,0.05,814.91,53120
0.0001,350,0.3203080892562866,-45.59503951000001,532,215983,616,0.05,823.02,53970
0.0001,349,0.27482420206069946,-44.45759900000001,536,219983,629,0.05,831.04,54970
0.0001,349,0.34160128235816956,-43.177557320000005,540,222399,636,0.05,823.53,55574
0.0001,349,0.16874264180660248,-44.15306095000001,544,224794,643,0.05,822.57,56173
0.0001,348,0.35765451192855835,-44.08823720999999,548,228303,654,0.05,841.9,57050
0.0001,347,0.4342159330844879,-38.435812219999995,552,231375,665,0.05,839.54,57818
0.0001,347,0.34005284309387207,-32.38115356,556,233854,672,0.05,845.55,58438
0.0001,346,0.40720394253730774,-29.783462280000002,560,236752,682,0.05,842.41,59162
0.0001,346,3.6530327796936035,-24.17425349,564,238789,688,0.05,831.1,59672
0.0001,346,0.42148932814598083,-16.974663140000004,568,241706,697,0.05,835.92,60401
0.0001,346,0.5289227962493896,-15.79344649,572,243648,702,0.05,821.03,60886
0.0001,346,0.25687292218208313,-11.661922209999995,576,246189,710,0.05,814.06,61522
0.0001,345,3.032940626144409,-8.560624439999996,580,248530,718,0.05,797.47,62107
0.0001,345,1.3648672103881836,-7.894571869999998,584,250908,725,0.05,781.25,62701
0.0001,345,0.4431634545326233,-4.6057624100000005,588,254322,736,0.05,782.7,63555
0.0001,345,3.263082265853882,-3.51779627,592,255500,738,0.05,768.23,63849
0.0001,346,0.6407946348190308,5.40440121,596,258377,746,0.05,757.0,64569
0.0001,346,0.4735415577888489,11.963374040000001,600,261143,754,0.05,744.66,65260
0.0001,346,0.7847371697425842,14.711710560000002,604,263069,759,0.05,723.92,65742
0.0001,346,0.3834949731826782,18.115393910000005,608,264272,762,0.05,695.95,66042
0.0001,346,0.624998152256012,19.425336950000002,612,265837,766,0.05,671.6,66434
0.0001,346,0.48451197147369385,24.751792969999997,616,267306,770,0.05,646.29,66801
0.0001,347,0.21831464767456055,26.67931745,620,269404,776,0.05,627.27,67325
0.0001,347,0.3859631419181824,26.72222515,624,270902,780,0.05,610.29,67700
0.0001,347,0.29459160566329956,23.90350111,628,271680,781,0.05,590.97,67894
0.0001,347,0.8018337488174438,31.044617090000003,632,273998,787,0.05,580.15,68474
0.0001,348,0.5234160423278809,40.14866668999999,636,276131,793,0.05,561.48,69007
0.0001,348,0.37511566281318665,45.89339841,640,278253,798,0.05,558.54,69538
0.0001,348,0.9445245862007141,50.26625720999999,644,279775,803,0.05,549.81,69918
