time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/approx_kl,train/clip_range,train/std,train/value_loss,train/clip_fraction,train/explained_variance,train/entropy_loss,train/loss
2048,38,-57.855191000000005,1,53,1000.0,,,,,,,,,,,
4096,89,-52.56004625,2,45,1000.0,-0.003918056118709501,10,0.0002,0.006102381,0.2,0.9940108060836792,0.7924318850040436,0.0494140625,0.016851186752319336,-4.247596617043018,0.32855698466300964
6144,141,-51.436427333333334,3,43,1000.0,-0.00599593740189448,20,0.0002,0.0060554272,0.2,0.9795627593994141,0.8311384927481413,0.06318359375,0.023834049701690674,-4.218052616715431,0.3640388548374176
8192,190,-51.363315875,4,42,1000.0,-0.008027912591933273,30,0.0002,0.007757725,0.2,0.9760035276412964,0.8912403323687613,0.093505859375,0.036118507385253906,-4.187349776923656,0.486361563205719
10240,241,-51.3506163,5,42,1000.0,-0.0050566878460813315,40,0.0002,0.005038148,0.2,0.9665064811706543,1.0079316695220768,0.0564453125,0.05098116397857666,-4.167476366460323,0.4425247311592102
12288,291,-48.300001333333334,6,42,1000.0,-0.002308418569737114,50,0.0002,0.005155506,0.2,0.9635249972343445,1.0025557396933436,0.04814453125,0.04781836271286011,-4.148788921535015,0.5723569393157959
14336,343,-42.982319499999996,7,41,1000.0,-0.005278564635955263,60,0.0002,0.006740817,0.2,0.9597396850585938,1.2658985441550612,0.07265625,0.045259296894073486,-4.13818692266941,0.5362638235092163
16384,392,-42.5536716875,8,41,1000.0,-0.00554444198787678,70,0.0002,0.004819719,0.2,0.9476611018180847,1.7645906917750835,0.0640625,0.026693522930145264,-4.10947443395853,0.8337171077728271
18432,444,-45.820944000000004,9,41,1000.0,-0.003231372855952941,80,0.0002,0.004375666,0.2,0.9426695704460144,1.0559576358646154,0.038427734375,0.04123932123184204,-4.082949833571911,0.5609304308891296
20480,496,-47.80604155,10,41,1000.0,-0.0010593739425530657,90,0.0002,0.0024864636,0.2,0.9333598613739014,0.6719376545865089,0.018505859375,0.08814883232116699,-4.059265992045402,0.20798206329345703
22528,547,-53.97329268181819,11,41,997.0454545454545,-0.0019310989780933596,100,0.0002,0.0061306753,0.2,0.9304966926574707,1.2730346681550144,0.04990234375,0.06222051382064819,-4.037476247549057,0.1569707989692688
24576,592,-59.054395166666666,12,41,996.2083333333334,-0.0009181154127873015,110,0.0002,0.0046942127,0.2,0.9321889877319336,35.98388228416443,0.0345703125,-0.0026007890701293945,-4.034537567198276,13.948657035827637
26624,642,-58.34065911538461,13,41,996.5,-0.003799230171716772,120,0.0002,0.009012202,0.2,0.9314770698547363,32.56450573643669,0.084326171875,0.1631043553352356,-4.038016736507416,0.670883059501648
28672,693,-58.58473007142857,14,41,996.75,-0.0021540647780057044,130,0.0002,0.002788126,0.2,0.924778938293457,3.284537951648235,0.052294921875,0.024786174297332764,-4.021995042264462,2.481806993484497
30720,740,-60.31978222580645,15,41,978.0,-0.0030106918915407733,140,0.0002,0.005077536,0.2,0.9224759340286255,0.9341340031009168,0.06611328125,0.1477406620979309,-4.007830812036991,0.3631921410560608
32768,793,-61.05673115151515,16,41,979.3333333333334,-0.002017843315843493,150,0.0002,0.0046343235,0.2,0.923839271068573,29.64510387852788,0.0333984375,0.26685047149658203,-4.006660360097885,31.601078033447266
34816,843,-61.19206557142857,17,41,980.5142857142857,-0.004488874369417317,160,0.0002,0.009206956,0.2,0.9177407026290894,1.1486050967825576,0.107861328125,0.11188828945159912,-3.9992653049528597,0.47510993480682373
36864,893,-61.36139505405406,18,41,981.5675675675676,-0.0032919308287091553,170,0.0002,0.0057059564,0.2,0.9118245840072632,1.671396873705089,0.064501953125,0.0984870195388794,-3.9772336930036545,0.7059632539749146
38912,943,-61.71560982051282,19,41,982.5128205128206,-0.0020584027311997487,180,0.0002,0.0036257706,0.2,0.9051937460899353,1.131776859331876,0.0349609375,0.15048110485076904,-3.9549756564199923,0.25617238879203796
40960,1002,-60.77809921951218,20,40,983.3658536585366,-0.0016938379500061273,190,0.0002,0.004983739,0.2,0.8974188566207886,1.9889287181198596,0.040966796875,0.13173043727874756,-3.9324987187981604,0.7472741603851318
43008,1055,-61.134539186046496,21,40,984.1395348837209,-0.0021469860977958886,200,0.0002,0.00603965,0.2,0.8876158595085144,2.538219824619591,0.074560546875,0.07488733530044556,-3.9032961286604406,1.6963697671890259
45056,1112,-61.302878133333316,22,40,984.8444444444444,-0.0012594735744642094,210,0.0002,0.005973826,0.2,0.8781606554985046,2.0177396342158316,0.03046875,0.12921923398971558,-3.8682388879358767,0.5551940202713013
47104,1162,-60.13206502127658,23,40,985.4893617021277,-0.0015129076055018231,220,0.0002,0.0046337363,0.2,0.8755545616149902,2.0775417551398276,0.038232421875,0.13895714282989502,-3.846045609563589,1.8411898612976074
49152,1215,-59.98908263265306,24,40,986.0816326530612,-0.0010013525432441383,230,0.0002,0.0024888183,0.2,0.8720588088035583,1.8686678789556026,0.023193359375,0.10374844074249268,-3.8371024638414384,0.8923848867416382
51200,1265,-59.883896058823524,25,40,986.6274509803922,-0.0028707011108053846,240,0.0002,0.0075583286,0.2,0.8677359819412231,1.9373374614864587,0.065234375,0.14844286441802979,-3.8239537984132768,0.6059677004814148
53248,1315,-58.585979377358484,26,40,987.1320754716982,-0.0024844148283591494,250,0.0002,0.0047997464,0.2,0.8626691699028015,2.5472734708338978,0.048046875,0.12034404277801514,-3.810497422516346,0.8306725025177002
55296,1369,-59.85030010714286,27,40,983.5,-0.004106987340492196,260,0.0002,0.006429367,0.2,0.8571661710739136,4.221599278226495,0.064501953125,0.05873918533325195,-3.7912486106157304,1.3027762174606323
57344,1423,-59.477648862068975,28,40,984.0689655172414,-0.005740538382087834,270,0.0002,0.008613021,0.2,0.8585951328277588,29.821553845331074,0.070654296875,0.23380154371261597,-3.7829988919198514,2.028419256210327
59392,1476,-59.419983583333334,29,40,984.6,8.261475886683911e-05,280,0.0002,0.00053273566,0.2,0.8513733148574829,2.533983674366027,0.012841796875,0.031367480754852295,-3.775965188443661,0.9221795201301575
61440,1530,-58.544441806451616,30,40,985.0967741935484,0.00026402236544527115,290,0.0002,0.001075042,0.2,0.8480342626571655,3.131487103179097,0.030712890625,0.11066287755966187,-3.7555744111537934,1.0611507892608643
63488,1581,-58.537138625,31,40,985.5625,-0.0024691338359843938,300,0.0002,0.005861799,0.2,0.8369649648666382,3.2956079229712487,0.06337890625,0.06559085845947266,-3.7266180992126463,0.9963613152503967
65536,1629,-58.615630045454544,32,40,986.0,-0.00032750988466432316,310,0.0002,0.0023412267,0.2,0.8327604532241821,1.3148508984595537,0.01689453125,0.14912056922912598,-3.7010191559791563,0.6014661192893982
67584,1685,-58.49981882352941,33,40,986.4117647058823,-0.0011276495817583055,320,0.0002,0.005560862,0.2,0.8297637701034546,1.82688292786479,0.041845703125,0.15237343311309814,-3.689834235608578,0.66151362657547
69632,1737,-58.55139357142856,34,40,986.8,-0.001968638674588874,330,0.0002,0.0061808634,0.2,0.8284144401550293,1.624667381308973,0.054736328125,0.12957483530044556,-3.680717673152685,0.5236000418663025
71680,1787,-58.29514640277778,35,40,987.1666666666666,-0.0013353672315133736,340,0.0002,0.004328117,0.2,0.8219699859619141,1.8138507001101971,0.04736328125,0.1287989616394043,-3.667290361225605,0.8894807696342468
73728,1844,-57.57646704054054,36,39,987.5135135135135,-0.0005136391991982237,350,0.0002,0.0047997143,0.2,0.8122273683547974,1.3332379556261003,0.0248046875,0.17373132705688477,-3.637181842327118,0.5171859860420227
75776,1897,-57.76314735526316,37,39,987.8421052631579,-0.0006922847707755864,360,0.0002,0.003682113,0.2,0.812398374080658,2.6487005153670906,0.018994140625,0.0549163818359375,-3.620568733662367,0.9384452104568481
77824,1945,-56.549411,38,40,988.1538461538462,-0.001400558277964592,370,0.0002,0.0066303057,0.2,0.8124303817749023,1.7828884670510887,0.037744140625,0.15625017881393433,-3.6216076500713825,1.738404393196106
79872,1996,-56.0706889875,39,40,988.45,-0.003905817787745036,380,0.0002,0.006047777,0.2,0.8129477500915527,8.12541447132826,0.062255859375,0.031739890575408936,-3.622672800719738,1.1656514406204224
81920,2049,-56.288863317073165,40,39,988.7317073170732,-0.0009110855433391407,390,0.0002,0.005056017,0.2,0.8096429109573364,2.6208429474383594,0.03818359375,0.12149286270141602,-3.618996276706457,0.4143453538417816
83968,2099,-56.65280716470587,41,39,979.7294117647059,-0.00026568830944597723,400,0.0002,0.003829238,0.2,0.808442234992981,4.171279620472342,0.024853515625,0.06703251600265503,-3.6109694577753544,2.181558847427368
86016,2149,-57.20177134090909,42,40,971.9318181818181,-0.004212341556558386,410,0.0002,0.004146227,0.2,0.8075379729270935,25.00649253372103,0.0470703125,0.19745731353759766,-3.6045237757265567,1.123488426208496
88064,2200,-57.488182846153855,43,40,964.7252747252747,-0.0013864957174519077,420,0.0002,0.0051175263,0.2,0.8044005632400513,24.863573519699276,0.050439453125,0.4740832448005676,-3.5971810407936573,1.2808003425598145
90112,2253,-57.0677551935484,44,39,965.483870967742,-0.0019162113836500793,430,0.0002,0.0048896736,0.2,0.8016802072525024,25.39765550941229,0.0431640625,0.5141446888446808,-3.5852212093770506,5.292190074920654
92160,2306,-56.37129391578949,45,39,966.2105263157895,0.000287957870750688,440,0.0002,0.0043427153,0.2,0.7985274791717529,3.647124633193016,0.0326171875,-0.47256767749786377,-3.577680266648531,0.2726566791534424
94208,2364,-56.46660553608247,46,39,961.3917525773196,-0.002620248479070142,450,0.0002,0.0049101724,0.2,0.7953382730484009,4.651879981160164,0.06181640625,0.07454836368560791,-3.563892424851656,2.964097738265991
96256,2413,-56.39485545,47,39,962.55,-0.00555597486672923,460,0.0002,0.0070196576,0.2,0.7954133749008179,24.61529767848551,0.072119140625,0.6132447123527527,-3.558869955688715,3.5006349086761475
98304,2463,-56.408059510000015,48,39,962.55,3.3325105323456225e-05,470,0.0002,0.0054018516,0.2,0.792216956615448,6.791248337551951,0.051416015625,0.06122887134552002,-3.5528559394180776,3.0676517486572266
100352,2513,-58.04043833000001,49,39,958.1,-0.00018585927900858224,480,0.0002,0.0014950781,0.2,0.7874207496643066,3.2648430284112693,0.031689453125,0.6092274785041809,-3.5371049888432027,1.5453578233718872
102400,2558,-57.91213604000001,50,40,953.37,-8.874431950971484e-05,490,0.0002,0.0023294939,0.2,0.7884836196899414,38.7145155146718,0.029296875,0.5145008563995361,-3.5303445369005204,3.553208112716675
104448,2604,-57.50641549000001,51,40,953.37,-0.004359409850439988,500,0.0002,0.0067448625,0.2,0.7873404026031494,25.878773232549428,0.070849609375,0.6452049612998962,-3.530608344823122,2.641132354736328
106496,2651,-57.681218529999995,52,40,952.48,-0.0026742719535832295,510,0.0002,0.006110722,0.2,0.7834810614585876,12.592211487144231,0.06259765625,0.294180691242218,-3.5224078103899954,4.551597595214844
108544,2694,-58.12078987999999,53,40,952.48,-0.004181281097407919,520,0.0002,0.00841721,0.2,0.7829633951187134,32.45263301432133,0.073388671875,0.4943384528160095,-3.51067703217268,3.503141164779663
110592,2742,-58.10490573999999,54,40,945.47,-0.0015628120774636046,530,0.0002,0.0079061985,0.2,0.7832196950912476,5.628887312486768,0.06650390625,0.745142251253128,-3.51141949146986,2.3237714767456055
112640,2787,-58.022941149999994,55,40,941.66,-4.419264732860029e-05,540,0.0002,0.0041279863,0.2,0.784868597984314,13.508318527042865,0.04501953125,0.2904471158981323,-3.5144293628633023,4.346948623657227
114688,2831,-58.27861386999999,56,40,941.25,-0.005686515744309872,550,0.0002,0.0074546454,0.2,0.7830817699432373,22.732383175194265,0.056884765625,0.77103091776371,-3.5104032017290594,7.087170600891113
116736,2877,-56.66619345,57,40,941.9,-0.0025426961394259704,560,0.0002,0.0058951275,0.2,0.7813131809234619,19.387438928335904,0.022900390625,0.7467984855175018,-3.5033774718642237,5.462883949279785
118784,2922,-55.05202182000001,58,40,942.16,-0.0019766373501624913,570,0.0002,0.0069119288,0.2,0.7763299942016602,18.196605732291935,0.050537109375,0.35350340604782104,-3.4917297296226026,5.715099334716797
120832,2966,-55.66576644999999,59,40,938.87,-0.0010455194511450826,580,0.0002,0.007461631,0.2,0.7721556425094604,5.469963702559471,0.046435546875,-2.245053291320801,-3.4728912100195886,1.8539233207702637
122880,3009,-54.44005945999999,60,40,938.87,-0.0027620433960692027,590,0.0002,0.0069055576,0.2,0.7713252902030945,15.01472821570933,0.060400390625,0.7095212042331696,-3.4611273258924484,7.536144733428955
124928,3057,-53.36666866999999,61,40,944.78,-0.0002104547747876495,600,0.0002,0.0046613174,0.2,0.7648746371269226,5.862609806656837,0.037744140625,0.044337451457977295,-3.4476993098855018,1.6394258737564087
126976,3104,-53.04858959,62,40,940.98,0.0004634402896044776,610,0.0002,0.004787449,0.2,0.7670321464538574,5.7261561959981915,0.02919921875,-0.09162020683288574,-3.4412615314126014,1.357757329940796
129024,3151,-54.01852920000001,63,40,935.13,-0.004465729833464138,620,0.0002,0.005777852,0.2,0.7678660154342651,16.168028262257575,0.042822265625,0.6770274341106415,-3.443762270361185,2.3938357830047607
131072,3194,-53.593665140000006,64,41,935.13,-0.003830718573590275,630,0.0002,0.005496626,0.2,0.7684358358383179,37.04315338470042,0.04365234375,0.554658830165863,-3.4464998088777064,15.814687728881836
133120,3237,-53.22561106999999,65,41,935.13,-0.0005663967574946582,640,0.0002,0.0036291904,0.2,0.7617189884185791,5.650485785678029,0.023681640625,-0.37273287773132324,-3.432574912905693,1.688873291015625
135168,3284,-52.32730072,66,41,935.13,0.0005806502507766709,650,0.0002,0.006758346,0.2,0.7568361759185791,6.6880798667669294,0.033837890625,0.05474686622619629,-3.408132177591324,4.746882438659668
137216,3328,-51.46607259000001,67,41,935.13,0.000725274530122988,660,0.0002,0.006072703,0.2,0.756957471370697,5.548114009574055,0.044677734375,0.05103784799575806,-3.398630879819393,3.4729089736938477
139264,3373,-51.59111725999999,68,41,928.58,-7.101001683622599e-05,670,0.0002,0.004595398,0.2,0.7492231130599976,7.553512020409107,0.03330078125,0.04023998975753784,-3.384991553425789,1.2769609689712524
141312,3420,-51.543686179999995,69,41,923.68,-0.0014130735871731304,680,0.0002,0.0056732204,0.2,0.745193362236023,18.217450672388075,0.03212890625,0.7002394199371338,-3.362514729052782,2.8181824684143066
143360,3464,-51.34497583,70,41,917.89,-0.0028865375119494275,690,0.0002,0.0047513708,0.2,0.7429901957511902,36.43856940716505,0.03134765625,0.59040966629982,-3.348564148694277,6.760601043701172
145408,3507,-52.17708263999999,71,41,916.42,-0.0021709717097110116,700,0.0002,0.0074690697,0.2,0.7421183586120605,54.855450195074084,0.02548828125,0.612692266702652,-3.343330121785402,17.81940269470215
147456,3552,-50.970308929999995,72,41,918.84,-0.0019084971834672614,710,0.0002,0.0051459996,0.2,0.7411079406738281,37.57283728271723,0.020849609375,0.30999189615249634,-3.340027681738138,6.243026256561279
149504,3595,-50.7286275,73,41,918.84,-0.00040435151749989017,720,0.0002,0.0054429728,0.2,0.74173903465271,4.413641583546996,0.045751953125,0.6715595722198486,-3.3380451917648317,1.8790725469589233
151552,3641,-50.6980613,74,41,914.27,-0.002257748137344606,730,0.0002,0.006470326,0.2,0.7414439916610718,5.28326081559062,0.062353515625,0.6553365290164948,-3.3419571235775947,1.906122088432312
153600,3688,-50.291596950000006,75,41,914.27,-0.0008702494320459664,740,0.0002,0.0014827067,0.2,0.7424401044845581,22.309972155094147,0.001123046875,0.611351728439331,-3.3429170310497285,17.613176345825195
155648,3730,-49.68591404000001,76,41,908.66,-0.002455885536619462,750,0.0002,0.005353255,0.2,0.740768313407898,7.24870395027101,0.054443359375,0.6149880290031433,-3.340781592577696,1.6203218698501587
157696,3778,-49.78126991999999,77,41,908.66,-0.00495534782676259,760,0.0002,0.008093702,0.2,0.739294707775116,17.302058219909668,0.09423828125,0.7817737758159637,-3.333719199895859,2.7356669902801514
159744,3825,-49.15889741999999,78,41,903.34,-0.0008341652835952118,770,0.0002,0.004491051,0.2,0.7373225688934326,6.958617698401213,0.0259765625,0.552681028842926,-3.328123989701271,4.011273384094238
161792,3869,-48.962373199999995,79,41,903.34,-0.0051997695554746315,780,0.0002,0.0061866054,0.2,0.7380279302597046,12.145717050135136,0.027783203125,0.7849927842617035,-3.3228789918124675,2.909207582473755
163840,3914,-48.410481329999996,80,41,903.34,-0.0008979902078863234,790,0.0002,0.007548323,0.2,0.7332891225814819,6.619686202704907,0.041748046875,0.4864552617073059,-3.3151868015527723,2.055878162384033
165888,3957,-47.72174217,81,41,903.34,-0.0009757714400620898,800,0.0002,0.0052830647,0.2,0.7339198589324951,6.718133750557899,0.064208984375,0.5813948810100555,-3.3065197318792343,1.716163992881775
167936,4000,-49.30572443999999,82,41,899.3,-0.004246623200015165,810,0.0002,0.006720395,0.2,0.7359806299209595,4.080580712296069,0.107421875,0.7930585294961929,-3.3109581388533114,0.5660797953605652
169984,4047,-48.86635659999999,83,41,899.3,-0.002498894912423566,820,0.0002,0.0053775394,0.2,0.7360484600067139,21.99602253213525,0.04208984375,0.7291684746742249,-3.314311494678259,6.5077643394470215
172032,4093,-46.017781649999996,84,42,899.3,-0.0027836057619424538,830,0.0002,0.0065741367,0.2,0.7356294393539429,9.896843928843737,0.04599609375,0.17931485176086426,-3.314937224239111,3.788505792617798
174080,4140,-45.15027199,85,42,907.29,-0.0010637536528520287,840,0.0002,0.0052223112,0.2,0.7352699637413025,18.71252814233303,0.029052734375,0.39329856634140015,-3.3119148790836332,9.124939918518066
176128,4185,-44.6592896,86,42,914.37,-0.0017687580999336205,850,0.0002,0.005807174,0.2,0.7390780448913574,5.311614961922169,0.058447265625,0.46007025241851807,-3.32139892205596,2.4944255352020264
178176,4230,-44.24740769,87,42,907.05,-0.003050775619340129,860,0.0002,0.007870156,0.2,0.7417248487472534,17.83410647958517,0.06640625,0.64168581366539,-3.333398249000311,4.796451091766357
180224,4278,-43.89607994000001,88,42,914.45,-0.0053751799263409335,870,0.0002,0.00506699,0.2,0.7391599416732788,41.07567453980446,0.084423828125,0.5618270933628082,-3.337277482450008,21.12754249572754
182272,4322,-43.45218177999999,89,42,913.38,0.00027137012220919133,880,0.0002,0.0032488955,0.2,0.7384047508239746,20.76918712258339,0.016162109375,0.48797643184661865,-3.3299642451107503,9.065832138061523
184320,4368,-42.791990479999996,90,42,918.73,-0.0017451686071581207,890,0.0002,0.0035302471,0.2,0.7377769351005554,18.48960241228342,0.03486328125,0.6023251414299011,-3.3275907658040524,20.85537338256836
186368,4412,-43.47328001999999,91,42,912.91,-0.0016876395398867316,900,0.0002,0.005736987,0.2,0.7387682199478149,8.961533827334643,0.052685546875,0.7238984405994415,-3.3297266326844692,2.7384936809539795
188416,4454,-45.55464920999999,92,42,900.8,-0.001638670836109668,910,0.0002,0.012093799,0.2,0.736656665802002,11.73444577101618,0.1216796875,0.7817302048206329,-3.32660241574049,10.435392379760742
190464,4497,-43.88593863999999,93,42,905.25,-0.0017165157216368244,920,0.0002,0.00513925,0.2,0.7379016876220703,27.8842787951231,0.031494140625,0.8623562455177307,-3.3234888397157194,11.400125503540039
192512,4539,-43.74187871,94,42,909.98,-0.00020413165912032128,930,0.0002,0.007182464,0.2,0.7383622527122498,5.575446369312703,0.0818359375,0.5626712143421173,-3.3285757802426814,0.6555680632591248
194560,4584,-45.17860408000001,95,42,909.98,-0.0003753824712475762,940,0.0002,0.010219409,0.2,0.7414165735244751,2.290304894465953,0.132373046875,0.8177297413349152,-3.3341437608003615,1.0871517658233643
196608,4629,-44.20118798000001,96,42,910.87,0.0005688652483513579,950,0.0002,0.00790458,0.2,0.736973226070404,4.728261843835935,0.099169921875,0.4015880823135376,-3.3288425907492636,1.3476433753967285
