rollout/ep_len_mean,time/total_timesteps,time/fps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/clip_fraction,train/n_updates,train/entropy_loss,train/loss,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/value_loss
20.969072164948454,2048,413,1,20.969072164948454,4,,,,,,,,,,
26.16,4096,379,2,26.16,10,0.0003,0.1361328125,10,-0.6850274745374918,8.342419624328613,0.2,-0.021831538042169994,0.00019210577011108398,0.009540876,50.01480675637722
34.88,6144,377,3,34.88,16,0.0003,0.077734375,20,-0.6662919159978629,9.985108375549316,0.2,-0.020870229654246942,0.10312998294830322,0.0109611,35.83731127381325
43.99,8192,375,4,43.99,21,0.0003,0.0888671875,30,-0.6343517538160086,24.757801055908203,0.2,-0.017783191698254087,0.21553254127502441,0.008727143,49.3822744011879
60.63,10240,371,5,60.63,27,0.0003,0.075390625,40,-0.6112500555813313,27.889772415161133,0.2,-0.01741180382668972,0.2846677899360657,0.0068202782,57.662454187870026
76.69,12288,368,6,76.69,33,0.0003,0.087939453125,50,-0.5998216094449162,9.632086753845215,0.2,-0.014135797668132,0.5689437985420227,0.010387542,52.95913534760475
96.34,14336,367,7,96.34,38,0.0003,0.029541015625,60,-0.5980475291609764,10.9008150100708,0.2,-0.0033542956050951036,0.6068046391010284,0.004233998,50.02983294725418
114.16,16384,352,8,114.16,46,0.0003,0.029931640625,70,-0.5804851990193128,34.19049072265625,0.2,-0.007124880996707361,0.5848875343799591,0.0061493968,58.65738790929318
131.67,18432,340,9,131.67,54,0.0003,0.0826171875,80,-0.5721723172813654,17.47916603088379,0.2,-0.009461852078675292,0.7509648948907852,0.0074092536,42.8216036722064
148.8,20480,331,10,148.8,61,0.0003,0.111328125,90,-0.5863989116623998,2.636350154876709,0.2,-0.012009184833732433,0.6332469284534454,0.010946447,24.240797404944896
166.55,22528,325,11,166.55,69,0.0003,0.083447265625,100,-0.5634166037663817,12.314929008483887,0.2,-0.006273304150090553,0.061059534549713135,0.008473501,67.48074011355638
185.21,24576,319,12,185.21,76,0.0003,0.021826171875,110,-0.565916222333908,44.271827697753906,0.2,-0.0051410023515927605,0.054871320724487305,0.0034576529,42.020035763829945
204.66,26624,314,13,204.66,84,0.0003,0.009228515625,120,-0.5856628151610493,1.4393310546875,0.2,-0.00013381121680140496,0.8578092604875565,0.0019686045,14.037216568738222
224.23,28672,311,14,224.23,92,0.0003,0.034619140625,130,-0.5712247427552939,2.5794756412506104,0.2,-0.003478495161107276,0.2747616171836853,0.0069949804,44.84568693637848
241.7,30720,307,15,241.7,99,0.0003,0.0212890625,140,-0.5770977683365345,1.609604001045227,0.2,-0.000655786570860073,0.4856647849082947,0.0030299723,25.77883492447436
257.6,32768,305,16,257.6,107,0.0003,0.083740234375,150,-0.573719984292984,0.2307986468076706,0.2,-0.009971050755120813,0.9228342026472092,0.0069377804,1.5647696337895467
275.39,34816,302,17,275.39,115,0.0003,0.017431640625,160,-0.5722939817234873,0.967921257019043,0.2,-0.001723912128363736,0.001578688621520996,0.0026153456,25.372548233065753
292.33,36864,300,18,292.33,122,0.0003,0.02099609375,170,-0.5597960148006678,0.22950047254562378,0.2,-0.0021649341666488907,0.46318352222442627,0.005754348,1.5996833154000343
309.83,38912,298,19,309.83,130,0.0003,0.131640625,180,-0.5606311900541187,0.031922850757837296,0.2,-0.004713008782709948,0.8530210107564926,0.012268947,0.38415212188265285
331.1,40960,296,20,331.1,137,0.0003,0.010302734375,190,-0.5641335140913725,7.4591288566589355,0.2,-0.002018754847813398,0.7542397230863571,0.0042932536,9.329233496077359
349.03,43008,295,21,349.03,145,0.0003,0.034423828125,200,-0.5428350017406046,0.029527880251407623,0.2,-0.002865228327573277,0.8097915947437286,0.0043308763,0.2859280901029706
362.41,45056,294,22,362.41,153,0.0003,0.07001953125,210,-0.5436564564704895,0.043888505548238754,0.2,-0.006345761741977185,0.7816340327262878,0.0043292944,0.22893285191385077
377.72,47104,292,23,377.72,160,0.0003,0.137109375,220,-0.5385779588483274,-0.008603554219007492,0.2,-0.01609554628666956,0.6514599025249481,0.009936839,0.09789071842678823
392.2,49152,291,24,392.2,168,0.0003,0.14306640625,230,-0.5146302207373082,0.017037495970726013,0.2,-0.012281159713165835,0.12852716445922852,0.012185952,0.042598430597718104
406.18,51200,290,25,406.18,176,0.0003,0.069873046875,240,-0.5072226474061609,0.002513118553906679,0.2,-0.0037565072620054708,0.10748094320297241,0.0063445903,0.02586555667439825
415.73,53248,289,26,415.73,183,0.0003,0.072412109375,250,-0.5129699795506895,0.012168588116765022,0.2,-0.0030388559607672505,0.1514769196510315,0.007818365,0.015872446394496365
428.65,55296,289,27,428.65,191,0.0003,0.003662109375,260,-0.5059948262758553,-0.010866612195968628,0.2,-1.7187761841341852e-06,-0.027325153350830078,0.002899867,0.010567888988680352
438.7,57344,287,28,438.7,199,0.0003,0.050244140625,270,-0.49280647477135064,0.009636067785322666,0.2,-0.0027631062344880774,-0.02298450469970703,0.007645798,0.007192167129142035
451.16,59392,286,29,451.16,206,0.0003,0.01611328125,280,-0.4749086561612785,-0.0028084004297852516,0.2,-0.0009686062636319548,-0.019650936126708984,0.002180967,0.0046674765475472665
457.12,61440,286,30,457.12,214,0.0003,0.0158203125,290,-0.4949059886857867,0.006180844269692898,0.2,-0.0006252194143598899,-0.011047840118408203,0.0022023665,0.003184504886326067
466.24,63488,285,31,466.24,222,0.0003,0.0125,300,-0.5093029795214534,-0.002829474164173007,0.2,-0.0004750158142996952,-0.07104361057281494,0.0014599529,0.0021979469469897593
467.39,65536,285,32,467.39,229,0.0003,0.01513671875,310,-0.4859820961020887,-0.0032726586796343327,0.2,-0.0012042163201840595,0.06196397542953491,0.0017105197,0.001556288423944352
475.04,67584,284,33,475.04,237,0.0003,0.010302734375,320,-0.48375789541751146,-0.025191878899931908,0.2,-0.0023353760261670686,0.016290724277496338,0.0014504672,0.001048587711466098
480.29,69632,283,34,480.29,245,0.0003,0.01962890625,330,-0.49410360883921384,-0.01514161005616188,0.2,-0.0003650871134595945,-0.04533672332763672,0.0010814953,0.0006941979647535846
480.99,71680,280,35,480.99,255,0.0003,0.06767578125,340,-0.48577166767790914,0.0004941902589052916,0.2,-0.0023543685529148206,-0.11145305633544922,0.005381399,0.0005127002506810641
481.17,73728,275,36,481.17,267,0.0003,0.057080078125,350,-0.48096311846747997,-0.005272468086332083,0.2,-0.00182717761490494,0.046266138553619385,0.0029365893,0.0003448034591144733
484.95,75776,271,37,484.95,279,0.0003,0.020361328125,360,-0.4691128064878285,-0.00531684560701251,0.2,-0.0003165994246955961,-0.07158899307250977,0.0018894016,0.00023389474942518972
491.11,77824,266,38,491.11,291,0.0003,0.032470703125,370,-0.45355314174667,-0.010117749683558941,0.2,-0.003298625934985466,0.0014197826385498047,0.0033668557,0.00017784135893919028
493.17,79872,262,39,493.17,304,0.0003,0.01494140625,380,-0.45472144726663827,-0.0038513171020895243,0.2,-4.4268032070249316e-06,-0.06818985939025879,0.00258279,0.00011541198958582299
495.14,81920,258,40,495.14,316,0.0003,0.03115234375,390,-0.4335920515470207,0.00957118533551693,0.2,-0.0018272185930982231,-0.06410467624664307,0.0028453562,9.60241009067886e-05
495.14,83968,255,41,495.14,329,0.0003,0.066748046875,400,-0.44475921969860793,-0.029479162767529488,0.2,-0.004432874827762135,-0.07828783988952637,0.0047474606,8.1430279902861e-05
495.14,86016,252,42,495.14,341,0.0003,0.0650390625,410,-0.4297009579837322,0.008613917045295238,0.2,-0.004273549150093458,0.045429885387420654,0.00394654,5.4792780252910235e-05
500.0,88064,249,43,500.0,352,0.0003,0.098486328125,420,-0.42812222968786956,-0.008820179849863052,0.2,-0.003598995605716482,-0.19533193111419678,0.007063204,3.300966944834727e-05
500.0,90112,248,44,500.0,363,0.0003,0.025732421875,430,-0.4481475346721709,-0.00511109409853816,0.2,-0.000632845908694435,-0.1966094970703125,0.0058581172,1.9856383141814148e-05
500.0,92160,246,45,500.0,373,0.0003,0.040673828125,440,-0.4177960865199566,-0.004980283789336681,0.2,-0.001782798537169583,-0.316217303276062,0.0035477132,1.6531036030187353e-05
500.0,94208,245,46,500.0,384,0.0003,0.0126953125,450,-0.41330520510673524,0.010196438990533352,0.2,-7.804302731528878e-05,-0.46222972869873047,0.0020105215,1.2553636776146958e-05
500.0,96256,243,47,500.0,394,0.0003,0.026611328125,460,-0.378133477922529,0.005362838041037321,0.2,-0.0012961773289134725,-0.3616487979888916,0.0030467617,8.97236584478378e-06
500.0,98304,242,48,500.0,405,0.0003,0.020068359375,470,-0.36498767053708436,-0.0033729493152350187,0.2,-0.0010625271330354734,-0.6470367908477783,0.001464136,7.146855938344743e-06
500.0,100352,241,49,500.0,416,0.0003,0.029541015625,480,-0.3698022229596972,0.0009217212209478021,0.2,-0.0006869822973385453,-0.6401267051696777,0.0037705018,6.487826001944086e-06
500.0,102400,239,50,500.0,427,0.0003,0.0111328125,490,-0.3558359730057418,-0.0032449231948703527,0.2,-0.0001001474287477322,-0.9904254674911499,0.001140648,3.182594443273956e-06
500.0,104448,238,51,500.0,437,0.0003,0.021728515625,500,-0.3561235975474119,-0.004901624750345945,0.2,-0.0022396818865672687,-0.838868260383606,0.0017499025,4.326991771108624e-06
500.0,106496,237,52,500.0,448,0.0003,0.050732421875,510,-0.34504038346931337,0.0006099668680690229,0.2,-0.002670528706221376,-1.4451196193695068,0.00470719,3.322113474268917e-06
500.0,108544,236,53,500.0,459,0.0003,0.079638671875,520,-0.3463087696582079,-0.016052622348070145,0.2,-0.002958059514639899,-1.7923552989959717,0.0053543886,5.123307761323303e-06
500.0,110592,235,54,500.0,470,0.0003,0.044775390625,530,-0.33537387354299425,0.0029009149875491858,0.2,-0.002282613750139717,-2.8962979316711426,0.0038565698,2.0232743878523253e-06
500.0,112640,234,55,500.0,480,0.0003,0.02822265625,540,-0.3035896472632885,-0.012006192468106747,0.2,-0.0010650522192008794,-4.445197582244873,0.0033739833,5.645762325912074e-06
500.0,114688,233,56,500.0,491,0.0003,0.02568359375,550,-0.28661930714733896,0.013452497310936451,0.2,-0.0010433924035169184,-3.4972004890441895,0.00288331,1.3340164406372423e-05
500.0,116736,232,57,500.0,502,0.0003,0.035693359375,560,-0.2869343155063689,-0.006781827658414841,0.2,-0.0008876836946001276,-6.8434977531433105,0.0029135367,1.9285328795604074e-05
500.0,118784,231,58,500.0,512,0.0003,0.018212890625,570,-0.2804507146589458,0.0019123611273244023,0.2,-0.0007968347970745526,-6.449156284332275,0.0019090421,8.507262066359544e-07
500.0,120832,230,59,500.0,523,0.0003,0.02587890625,580,-0.2673358719330281,-0.008385881781578064,0.2,-0.001557623571716249,-7.905548095703125,0.0036365814,8.225528574712371e-07
500.0,122880,230,60,500.0,533,0.0003,0.013916015625,590,-0.2575794144999236,0.009031166322529316,0.2,-0.0005093140309327282,-8.535136222839355,0.0016393473,7.55390283302404e-07
500.0,124928,229,61,500.0,544,0.0003,0.02666015625,600,-0.2682092878036201,-0.0009243753738701344,0.2,0.0009684914417448454,-12.701642990112305,0.0026679183,9.18135085044014e-06
500.0,126976,228,62,500.0,555,0.0003,0.03671875,610,-0.2535572252701968,-0.016903378069400787,0.2,-0.0021791830193251373,-6.108076572418213,0.0036922563,1.7857443140201212e-06
500.0,129024,228,63,500.0,565,0.0003,0.012255859375,620,-0.25604695826768875,0.007733908947557211,0.2,0.0002846525458153337,-3.8106837272644043,0.001006965,9.278893634245832e-06
500.0,131072,227,64,500.0,576,0.0003,0.0322265625,630,-0.2468504901509732,0.0006337655941024423,0.2,-0.00123170155857224,-13.123584747314453,0.003157968,2.595918641645767e-06
500.0,133120,226,65,500.0,586,0.0003,0.0892578125,640,-0.26366746993735435,-0.010574981570243835,0.2,-0.007837814479717053,-13.201187133789062,0.0075878627,9.378964591633121e-07
500.0,135168,226,66,500.0,597,0.0003,0.0099609375,650,-0.2540211056824774,0.0020383137743920088,0.2,-0.0005864631923031994,-10.480390548706055,0.0011301064,2.0831453275604873e-05
500.0,137216,225,67,500.0,608,0.0003,0.040478515625,660,-0.26804355694912374,-0.0041734445840120316,0.2,-0.0010004560346715153,-5.878391265869141,0.0049320133,4.4730381318913714e-06
500.0,139264,224,68,500.0,619,0.0003,0.026513671875,670,-0.2603775191586465,0.006160164717584848,0.2,-0.0008522178133716807,-7.431182861328125,0.0026469673,8.655612845132055e-07
500.0,141312,224,69,500.0,630,0.0003,0.038818359375,680,-0.25017631384544076,-0.00631683086976409,0.2,-0.0010312329599400983,-11.12234115600586,0.0016680985,5.945459932377162e-06
500.0,143360,223,70,500.0,641,0.0003,0.02763671875,690,-0.2661335292737931,-0.0015211028512567282,0.2,-0.0010852168634301051,-4.795872211456299,0.00442066,7.315758267623096e-07
500.0,145408,223,71,500.0,651,0.0003,0.0171875,700,-0.25541861951351164,0.014068476855754852,0.2,-9.018557029776275e-05,-5.954136371612549,0.002446393,1.0186472110262912e-06
500.0,147456,222,72,500.0,662,0.0003,0.067578125,710,-0.2582039589062333,-0.0016106389230117202,0.2,-0.002594798349309713,-7.31345272064209,0.0044897534,8.883397413228522e-07
500.0,149504,221,73,500.0,673,0.0003,0.03330078125,720,-0.25400888700969515,0.005322652403265238,0.2,-0.0012847591598983854,-7.617389678955078,0.0035985457,0.000110583121428931
500.0,151552,221,74,500.0,684,0.0003,0.03134765625,730,-0.26268962388858197,-0.02708332985639572,0.2,-0.00028001732716802507,-9.065230369567871,0.0019642832,2.6695300618939656e-07
500.0,153600,220,75,500.0,695,0.0003,0.015966796875,740,-0.24622496585361658,0.00152688124217093,0.2,0.0006725725339492783,-15.43923568725586,0.0004952848,2.331790341258966e-07
500.0,155648,220,76,500.0,705,0.0003,0.010498046875,750,-0.2488519473001361,0.0145862502977252,0.2,0.00010861436603590847,-7.7873125076293945,0.0016242618,2.6344448826876033e-07
500.0,157696,220,77,500.0,716,0.0003,0.01220703125,760,-0.22823485555127263,-0.002411044202744961,0.2,-0.0012181869649793952,-11.110028266906738,0.000999101,1.985872188470239e-07
500.0,159744,219,78,500.0,726,0.0003,0.024951171875,770,-0.22921689748764038,0.006454388611018658,0.2,-0.0009430309874005616,-5.748146057128906,0.002572047,1.4254655525292037e-06
500.0,161792,219,79,500.0,737,0.0003,0.0361328125,780,-0.22595521938055754,-0.017579207196831703,0.2,-0.0018955124920466914,-12.662960052490234,0.002725725,5.451821550650493e-07
500.0,163840,218,80,500.0,748,0.0003,0.05361328125,790,-0.24199651479721068,0.0021695303730666637,0.2,-0.0018609823164297268,-14.665430068969727,0.0052385703,5.40050206154774e-07
500.0,165888,218,81,500.0,758,0.0003,0.0296875,800,-0.24161783973686396,-0.0027492514345794916,0.2,-0.0016944267874350772,-9.396204948425293,0.0029490753,1.869893931996103e-05
500.0,167936,218,82,500.0,769,0.0003,0.0388671875,810,-0.25765826855786145,0.013642092235386372,0.2,-0.0003783928696066141,-28.034059524536133,0.0059147067,4.428649981491617e-06
500.0,169984,217,83,500.0,780,0.0003,0.01298828125,820,-0.24647654774598776,0.0028559628408402205,0.2,-9.569749236106872e-05,-29.697181701660156,0.0010087156,8.673992681451637e-07
500.0,172032,217,84,500.0,790,0.0003,0.0427734375,830,-0.26413439721800386,-0.01681816205382347,0.2,-0.0016123497538501398,-16.307857513427734,0.004225125,9.488976388638549e-07
500.0,174080,217,85,500.0,801,0.0003,0.01708984375,840,-0.23435945580713452,0.011920435354113579,0.2,-0.0012415424454957247,-9.005196571350098,0.0014290635,3.4261007698432876e-06
500.0,176128,216,86,500.0,811,0.0003,0.02265625,850,-0.24385757730342447,0.009189422242343426,0.2,-0.00013735354295931756,-13.333813667297363,0.0025034961,5.9460981901793275e-05
500.0,178176,216,87,500.0,822,0.0003,0.021435546875,860,-0.2538084488362074,-7.354550325544551e-05,0.2,-0.00021171700063860044,-10.198827743530273,0.0028796503,2.328209689039795e-07
500.0,180224,216,88,500.0,833,0.0003,0.02802734375,870,-0.24152911971323193,-0.00223265727981925,0.2,-0.0011574195465072989,-11.115524291992188,0.000527624,1.618206397324684e-07
500.0,182272,216,89,500.0,842,0.0003,0.03369140625,880,-0.2360991731286049,-0.0012736141216009855,0.2,-0.0021911305462708696,-13.402864456176758,0.002564665,1.0107616958521249e-06
500.0,184320,216,90,500.0,850,0.0003,0.0134765625,890,-0.23300481042824686,0.0006828955374658108,0.2,-0.001233470591250807,-9.771260261535645,0.0018663541,1.7870628141736233e-07
500.0,186368,217,91,500.0,858,0.0003,0.02587890625,900,-0.23268578057177364,-0.0017094473587349057,0.2,-0.0005707462492864579,-12.995575904846191,0.0020773849,3.9912737008762634e-07
500.0,188416,217,92,500.0,866,0.0003,0.021728515625,910,-0.22872995529323817,-0.006825767923146486,0.2,-0.001081438024993986,-8.067070960998535,0.0026210817,5.960573486163412e-06
500.0,190464,217,93,500.0,875,0.0003,0.023193359375,920,-0.25846366295590995,0.0053790961392223835,0.2,0.00043851117079611867,-12.423279762268066,0.0025537475,8.22207266537589e-06
500.0,192512,217,94,500.0,883,0.0003,0.025439453125,930,-0.24823480476625265,-0.003898227820172906,0.2,0.0009010764915728942,-13.31583023071289,0.0021794143,2.6359289790889305e-07
500.0,194560,218,95,500.0,891,0.0003,0.025390625,940,-0.24681628635153174,0.005735430400818586,0.2,0.000797582721861545,-14.096429824829102,0.0009530076,2.0638598243749585e-07
500.0,196608,218,96,500.0,899,0.0003,0.026708984375,950,-0.2471719448454678,-0.0036881528794765472,0.2,-0.0013575217832112684,-15.757959365844727,0.0010465764,2.325627110337791e-05
500.0,198656,218,97,500.0,907,0.0003,0.07177734375,960,-0.26637108507566154,-0.020871493965387344,0.2,-0.003272607841063291,-20.704330444335938,0.006513482,1.229763284982255e-07
500.0,200704,219,98,500.0,915,0.0003,0.016162109375,970,-0.2644128201529384,0.0004963139654137194,0.2,0.0006210671068402007,-21.60327911376953,0.0017342751,1.588231873483892e-06
500.0,202752,219,99,500.0,923,0.0003,0.017822265625,980,-0.23116180212236942,-0.004270663484930992,0.2,-0.001154600475274492,-18.092866897583008,0.0011792802,2.471206192922182e-06
500.0,204800,219,100,500.0,931,0.0003,0.040625,990,-0.24834868726320564,-0.009420275688171387,0.2,-0.0012275822082301602,-16.001264572143555,0.0017019829,3.0943060664867516e-07
500.0,206848,220,101,500.0,938,0.0003,0.02021484375,1000,-0.25715241567231717,0.0012974207056686282,0.2,0.00045814320328645407,-22.616363525390625,0.001961914,8.49079731153779e-05
500.0,208896,221,102,500.0,944,0.0003,0.04677734375,1010,-0.2612759621348232,-0.02280730940401554,0.2,-0.001811660861130804,-10.468881607055664,0.0038858138,1.5521216312208708e-07
500.0,210944,221,103,500.0,950,0.0003,0.01279296875,1020,-0.23423202359117568,0.0035055894404649734,0.2,0.00022020930045982823,-9.822704315185547,0.0014999369,1.0766210607471294e-07
500.0,212992,222,104,500.0,957,0.0003,0.023974609375,1030,-0.24263011906296014,-0.0003057311405427754,0.2,-0.000516401807544753,-8.040167808532715,0.0024608457,1.1738722207610409e-07
500.0,215040,223,105,500.0,963,0.0003,0.038037109375,1040,-0.24632989186793566,-0.0011159435380250216,0.2,-0.000556916676578112,-9.039521217346191,0.0015089228,2.0556016693262792e-07
500.0,217088,223,106,500.0,969,0.0003,0.028271484375,1050,-0.2687290576286614,0.023729467764496803,0.2,-0.0005724253976950421,-12.169515609741211,0.0022227527,1.8288834894519824e-06
500.0,219136,224,107,500.0,975,0.0003,0.022705078125,1060,-0.24400724163278936,-0.009929008781909943,0.2,-0.0012588656245497987,-9.012397766113281,0.0016535216,1.2573343241228941e-06
500.0,221184,225,108,500.0,981,0.0003,0.0826171875,1070,-0.2560509675182402,0.001974426908418536,0.2,-0.003842523175990209,-14.217046737670898,0.0056379884,1.6022016797023753e-05
500.0,223232,225,109,500.0,987,0.0003,0.029150390625,1080,-0.24400596488267184,0.011765265837311745,0.2,-0.0008076174854068086,-6.692442417144775,0.0028141628,2.189791092632731e-06
500.0,225280,226,110,500.0,993,0.0003,0.02431640625,1090,-0.22949043866246938,-0.001954879378899932,0.2,-0.000981054712610785,-1.3086941242218018,0.0038051156,8.026158923257753e-06
500.0,227328,227,111,500.0,999,0.0003,0.018359375,1100,-0.2611394478939474,0.004182353615760803,0.2,0.00013998790818732233,-1.5853667259216309,0.0021735518,1.7300790628382855e-05
500.0,229376,227,112,500.0,1006,0.0003,0.03486328125,1110,-0.2575022164732218,0.0031415573321282864,0.2,-0.002096536244789604,-1.395522117614746,0.0040481808,5.924960419179115e-07
500.0,231424,228,113,500.0,1013,0.0003,0.043212890625,1120,-0.24403970446437598,0.005974878091365099,0.2,-0.0019624819076852875,-1.6739892959594727,0.00383141,4.0754011934041043e-07
500.0,233472,228,114,500.0,1019,0.0003,0.0130859375,1130,-0.2394089237321168,0.0010984530672430992,0.2,-0.000632011228299234,-2.648861885070801,0.0014315348,7.015851423375352e-07
500.0,235520,229,115,500.0,1025,0.0003,0.015966796875,1140,-0.22662804420106114,-0.0035230095963925123,0.2,-0.000911972695030272,-5.19194221496582,0.0019056622,5.136191904853149e-06
500.0,237568,230,116,500.0,1032,0.0003,0.01484375,1150,-0.2451308465562761,0.004656735807657242,0.2,0.0007487411290640012,-4.786503314971924,0.00041401834,5.3065080834358016e-06
500.0,239616,230,117,500.0,1038,0.0003,0.018212890625,1160,-0.234330117655918,-0.0002890248433686793,0.2,-0.0005026031169109047,-5.995809078216553,0.00160679,1.5676211205573053e-06
500.0,241664,231,118,500.0,1044,0.0003,0.018212890625,1170,-0.20918215601705015,0.008814264088869095,0.2,-0.0015921192840323783,-5.0300726890563965,0.0021966519,9.506185686802837e-05
500.0,243712,232,119,500.0,1050,0.0003,0.01181640625,1180,-0.22894875002093612,0.00024655048036947846,0.2,0.0006337014929158613,-0.4064364433288574,0.002489704,6.714603298973998e-06
500.0,245760,232,120,500.0,1056,0.0003,0.020556640625,1190,-0.21455360110849142,0.0024758251383900642,0.2,-0.000512119202176109,-0.27417635917663574,0.0009525056,8.747513561502273e-07
500.0,247808,233,121,500.0,1062,0.0003,0.0306640625,1200,-0.23195603666827083,-0.00490184873342514,0.2,-0.0009896121657220647,-0.3857523202896118,0.0016225826,3.032436495686852e-07
500.0,249856,233,122,500.0,1068,0.0003,0.0169921875,1210,-0.22641341146081687,0.024182463064789772,0.2,-0.0003113230341114104,-0.614326000213623,0.0016826915,2.540425157349091e-07
500.0,251904,234,123,500.0,1074,0.0003,0.03583984375,1220,-0.21477779243141412,-0.019484015181660652,0.2,-0.0015707621641922742,-0.938701868057251,0.0031194077,3.487685233949378e-07
500.0,253952,235,124,500.0,1080,0.0003,0.034912109375,1230,-0.22841778080910444,-0.01621798798441887,0.2,-0.0018978720792802051,-0.9721421003341675,0.0040072845,1.6998243665966583e-07
500.0,256000,235,125,500.0,1086,0.0003,0.02021484375,1240,-0.23453231547027825,0.01508188247680664,0.2,-0.0005110354613862,-1.4819750785827637,0.0020614043,2.0491221448537543e-07
500.0,258048,236,126,500.0,1093,0.0003,0.033642578125,1250,-0.23812296534888447,-0.009779364801943302,0.2,-0.000623646448366344,-1.8591690063476562,0.0025596,1.2189640784754375e-06
500.0,260096,236,127,500.0,1099,0.0003,0.02734375,1260,-0.24779116762802006,0.009851457551121712,0.2,-0.00016100755019579082,-3.2219042778015137,0.001959538,9.645798022859254e-05
500.0,262144,237,128,500.0,1105,0.0003,0.017578125,1270,-0.23409550925716757,0.00035144982393831015,0.2,0.00028615486226044593,-4.771541595458984,0.0023806652,1.0403514636436739e-07
500.0,264192,237,129,500.0,1111,0.0003,0.0181640625,1280,-0.23063807105645537,0.0005927010788582265,0.2,-0.0007506093446863815,-5.948563098907471,0.0018530618,1.0080788968025444e-07
500.0,266240,237,130,500.0,1118,0.0003,0.041162109375,1290,-0.24490624680183828,-0.004051844589412212,0.2,0.0008859521039994434,-7.429147720336914,0.0037491927,9.529072428904328e-08
500.0,268288,238,131,500.0,1125,0.0003,0.0275390625,1300,-0.25037683863192794,-0.012363419868052006,0.2,-0.0007181461347499863,-6.227227210998535,0.002427472,1.522814869758804e-07
500.0,270336,238,132,500.0,1131,0.0003,0.036572265625,1310,-0.25710016922093926,0.004765872843563557,0.2,-0.0010013802093453705,-8.969722747802734,0.00202367,1.3794988831250521e-07
500.0,272384,239,133,500.0,1137,0.0003,0.04638671875,1320,-0.24770046276971697,-0.022784868255257607,0.2,-0.0012872339342720807,-11.251424789428711,0.0026667158,1.068450131924692e-07
500.0,274432,239,134,500.0,1143,0.0003,0.045166015625,1330,-0.2535925513133407,-0.00680785346776247,0.2,0.0003307725375634618,-8.454965591430664,0.0031463103,6.08592114303974e-07
500.0,276480,240,135,500.0,1149,0.0003,0.037548828125,1340,-0.25820706309750674,-0.006166017148643732,0.2,-0.0003478379498119466,-16.500516891479492,0.0019198474,3.191059554694675e-05
500.0,278528,240,136,500.0,1156,0.0003,0.028662109375,1350,-0.2484416647348553,0.0015731757739558816,0.2,-0.00115532610216178,-10.990692138671875,0.003450367,2.1368689431255917e-07
500.0,280576,241,137,500.0,1163,0.0003,0.0208984375,1360,-0.2258813071064651,-0.007599742617458105,0.2,-0.0006885766997584142,-12.937783241271973,0.0011829308,1.1601146923112538e-07
500.0,282624,241,138,500.0,1169,0.0003,0.042529296875,1370,-0.23966985940933228,-0.01663406938314438,0.2,-0.0012436151315341703,-15.859607696533203,0.0034772384,5.4407520588029e-05
500.0,284672,241,139,500.0,1176,0.0003,0.015234375,1380,-0.22460256675258278,0.0032755921129137278,0.2,-0.0015975993068423123,-9.073153495788574,0.001827358,1.096219222063155e-07
500.0,286720,242,140,500.0,1183,0.0003,0.059814453125,1390,-0.25229521207511424,-0.009494665078818798,0.2,-0.004029776046809275,-10.434846878051758,0.0066654603,1.6985566162475151e-07
500.0,288768,242,141,500.0,1190,0.0003,0.01455078125,1400,-0.2438875579740852,0.007310336455702782,0.2,0.0004888691008090972,-9.491619110107422,0.0016421191,1.3160287721802887e-07
500.0,290816,242,142,500.0,1197,0.0003,0.007568359375,1410,-0.2403321521822363,-0.004602221772074699,0.2,-8.428622095379978e-06,-21.386823654174805,0.0010533952,9.186697383256614e-07
500.0,292864,243,143,500.0,1203,0.0003,0.012451171875,1420,-0.22052896535024047,0.006712726317346096,0.2,-0.00024289702996611596,-12.692927360534668,0.0021227808,2.0786868597610918e-05
500.0,294912,243,144,500.0,1210,0.0003,0.03837890625,1430,-0.24567091991193593,0.002536430489271879,0.2,-0.0002828569238772616,-15.64466667175293,0.0030595083,8.881247026693018e-08
500.0,296960,243,145,500.0,1217,0.0003,0.04677734375,1440,-0.243108197953552,-0.010301930829882622,0.2,-0.00163462845957838,-4.423122882843018,0.004769928,1.3024884594869946e-06
500.0,299008,244,146,500.0,1223,0.0003,0.015869140625,1450,-0.23279882140923291,0.002629040041938424,0.2,0.0001830919092753902,-4.141641616821289,0.0013267102,3.743802684539332e-05
500.0,301056,244,147,500.0,1229,0.0003,0.03037109375,1460,-0.24624601854011416,-0.0200301855802536,0.2,-0.0009839216363616288,-9.003948211669922,0.0027262745,2.761184447308551e-07
